,percentage_err,step
0,0.012200125262508209,1e-07
1,0.011262866249448637,1.4974874371859297e-07
2,0.004364546216047869,1.9949748743718594e-07
3,0.011989984027820092,2.4924623115577886e-07
4,0.004245840291356621,2.989949748743719e-07
5,0.0033529493764275203,3.487437185929648e-07
6,0.011015982912581582,3.984924623115578e-07
7,0.006826555191830476,4.4824120603015075e-07
8,0.003826435835615089,4.979899497487437e-07
9,0.004727130941018116,5.477386934673367e-07
10,0.0005511320795455176,5.974874371859296e-07
11,0.005713358102847767,6.472361809045226e-07
12,0.006010043702705874,6.969849246231156e-07
13,0.0005152163338160726,7.467336683417086e-07
14,0.004113663604565321,7.964824120603015e-07
15,0.000608981084842115,8.462311557788945e-07
16,0.003081643116312476,8.959798994974874e-07
17,0.003697969594301402,9.457286432160804e-07
18,0.006485149706506878,9.954773869346733e-07
19,0.0052085710838971665,1.0452261306532664e-06
20,0.01656010896892491,1.0949748743718591e-06
21,0.0019843658847217577,1.1447236180904523e-06
22,0.0076150608429160875,1.1944723618090454e-06
23,0.014973403264151502,1.244221105527638e-06
24,0.004493520519158265,1.2939698492462312e-06
25,0.00425165403153532,1.343718592964824e-06
26,0.000358829805214585,1.393467336683417e-06
27,0.005227484701636068,1.4432160804020102e-06
28,0.01882454699152875,1.492964824120603e-06
29,0.008285236035790323,1.542713567839196e-06
30,0.004349043781591425,1.5924623115577892e-06
31,0.016029088336355083,1.6422110552763819e-06
32,0.01250577202217327,1.691959798994975e-06
33,0.013491115886949394,1.7417085427135677e-06
34,0.0027245392117092823,1.7914572864321608e-06
35,0.011037014146417471,1.841206030150754e-06
36,0.020618641317552255,1.8909547738693467e-06
37,0.019626741580733523,1.94070351758794e-06
38,0.0021455187945521588,1.9904522613065325e-06
39,0.021726635662273345,2.0402010050251257e-06
40,0.0071103128513812265,2.0899497487437184e-06
41,0.035391818629789615,2.1396984924623115e-06
42,0.007568761972755731,2.1894472361809046e-06
43,0.023329195247212893,2.2391959798994973e-06
44,0.01470235895315974,2.2889447236180905e-06
45,0.040065822409324166,2.338693467336683e-06
46,0.02354052539196556,2.3884422110552763e-06
47,0.00036522522926088805,2.4381909547738694e-06
48,0.0003733733793503783,2.487939698492462e-06
49,0.004515206774109356,2.5376884422110553e-06
50,0.017438848378772305,2.587437185929648e-06
51,0.010780635851934853,2.637185929648241e-06
52,0.03335823964654976,2.6869346733668342e-06
53,0.008598695327035437,2.736683417085427e-06
54,0.016640400354766185,2.78643216080402e-06
55,0.014417974248958656,2.8361809045226132e-06
56,0.00378202391820021,2.885929648241206e-06
57,0.0440245520871953,2.935678391959799e-06
58,0.0320996697263795,2.9854271356783918e-06
59,0.02784430967489349,3.035175879396985e-06
60,0.0156338286022597,3.084924623115578e-06
61,0.05643061122634094,3.1346733668341707e-06
62,0.0263256703264535,3.184422110552764e-06
63,0.038812895767882195,3.2341708542713566e-06
64,0.010354746120738504,3.2839195979899497e-06
65,0.007135655036227345,3.333668341708543e-06
66,0.008060100482821988,3.3834170854271355e-06
67,0.033038848681695335,3.4331658291457287e-06
68,0.0035954381795464483,3.4829145728643214e-06
69,0.006201237902172439,3.5326633165829145e-06
70,0.0015232546753526843,3.5824120603015076e-06
71,0.0017293467775921932,3.6321608040201003e-06
72,0.015105838355351786,3.6819095477386935e-06
73,0.019421382590659824,3.731658291457286e-06
74,0.05890402198159054,3.7814070351758793e-06
75,0.011074669516724932,3.831155778894473e-06
76,0.036829116390203046,3.880904522613065e-06
77,0.06254247985598213,3.930653266331658e-06
78,0.010693444348121327,3.980402010050251e-06
79,0.006283259147962035,4.0301507537688446e-06
80,0.027065990121683696,4.079899497487437e-06
81,0.025287809213128447,4.12964824120603e-06
82,0.033393264960294475,4.179396984924623e-06
83,0.0002371791319930299,4.229145728643216e-06
84,0.003355268845744384,4.278894472361809e-06
85,0.04972552372195082,4.328643216080402e-06
86,0.06431854415993327,4.378391959798995e-06
87,0.02533704139185989,4.428140703517588e-06
88,0.011824026119512273,4.477889447236181e-06
89,0.05988318899774938,4.527638190954774e-06
90,0.0764971985627342,4.5773869346733665e-06
91,0.014668486337143967,4.62713567839196e-06
92,0.0090422022453734,4.676884422110553e-06
93,0.0034828399169234926,4.726633165829146e-06
94,0.02827116307296671,4.776381909547739e-06
95,0.034671360276186246,4.826130653266331e-06
96,0.02952711749009104,4.875879396984924e-06
97,0.05080115000175478,4.9256281407035175e-06
98,0.011736884240597798,4.975376884422111e-06
99,0.010750887864126285,5.025125628140704e-06
100,0.07357949211089032,5.074874371859296e-06
101,0.08682356009351633,5.124623115577889e-06
102,0.07363890434559464,5.174371859296482e-06
103,0.0025574698356110996,5.2241206030150755e-06
104,0.07432732436164229,5.273869346733669e-06
105,0.07662797194662979,5.323618090452261e-06
106,0.011657677753850775,5.373366834170854e-06
107,0.028469650751286504,5.423115577889447e-06
108,0.04284006609596809,5.47286432160804e-06
109,0.0032970721345240814,5.522613065326633e-06
110,0.09898971197215821,5.5723618090452265e-06
111,0.09748585928116493,5.622110552763819e-06
112,0.04874611822822271,5.671859296482412e-06
113,0.04328190621921327,5.721608040201005e-06
114,0.0392826101944703,5.771356783919598e-06
115,0.10547875391675943,5.821105527638191e-06
116,0.07093254293816874,5.870854271356784e-06
117,0.023450435526432407,5.920603015075377e-06
118,0.005427429734480327,5.97035175879397e-06
119,0.08408931339036048,6.020100502512563e-06
120,0.09457956054098329,6.069849246231156e-06
121,0.09335637738077886,6.1195979899497484e-06
122,0.018726611837110375,6.1693467336683416e-06
123,0.041417548763938015,6.219095477386935e-06
