DL,M,om_lambdas,theta,comoving_lens,exit_rhs,enter_phis,om_ks,raw_rs,om_k
1047.8655439063066,4.776409591704471e-07,0.0,4.84813681109536e-06,1571.79831585946,1.732833694356913,0.0025625775003734756,0,20.521521688706876,0
1051.3933538479075,4.6984273942888885e-07,0.0163265306122449,4.84813681109536e-06,1577.0900307718614,1.7328262855665,0.0025798403734931413,0,21.008444471753236,0
1054.9659226705023,4.6204451968733045e-07,0.0326530612244898,4.84813681109536e-06,1582.4488840057536,1.732818833590634,0.002597194431115751,0,21.514391427287354,0
1058.5842958387782,4.5424629994577206e-07,0.0489795918367347,4.84813681109536e-06,1587.8764437581674,1.7328113376660383,0.0026146423651969334,0,22.04042233406753,0
1062.2495551360346,4.464480802042138e-07,0.0653061224489796,4.84813681109536e-06,1593.374332704052,1.7328037970040122,0.002632186960758008,0,22.587674548179788,0
1065.962820357959,4.3864986046265553e-07,0.0816326530612245,4.84813681109536e-06,1598.9442305369382,1.7327962107958501,0.002649831107974366,0,23.157370636359794,0
1069.7252511063164,4.3085164072109724e-07,0.0979591836734694,4.84813681109536e-06,1604.5878766594744,1.7327885782054968,0.002667577801206108,0,23.750825982430385,0
1073.538048689675,4.2305342097953885e-07,0.1142857142857143,4.84813681109536e-06,1610.3070730345123,1.732780898371594,0.0026854301461633878,0,24.369457785867993,0
1077.402458138968,4.1525520123798045e-07,0.1306122448979592,4.84813681109536e-06,1616.1036872084521,1.732773170406387,0.002703391366516812,0,25.014795060355986,0
1081.3197703463059,4.074569814964222e-07,0.1469387755102041,4.84813681109536e-06,1621.979655519459,1.732765393393403,0.0027214648066549167,0,25.68848947947404,0
1085.2913243362302,3.99658761754864e-07,0.163265306122449,4.84813681109536e-06,1627.9369865043452,1.7327575663864958,0.00273965394212481,0,26.392328130237903,0
1089.318509679357,3.918605420133056e-07,0.1795918367346939,4.84813681109536e-06,1633.9777645190354,1.7327496884090061,0.0027579623810620193,0,27.12824703090361,0
1093.4027690593591,3.8406232227174725e-07,0.1959183673469388,4.84813681109536e-06,1640.1041535890388,1.7327417584525806,0.002776393877030346,0,27.898347332613064,0
1097.5456010050384,3.762641025301889e-07,0.2122448979591837,4.84813681109536e-06,1646.3184015075576,1.7327337754743348,0.0027949523283119005,0,28.704912260046346,0
1101.748562800489,3.684658827886306e-07,0.2285714285714286,4.84813681109536e-06,1652.6228442007337,1.7327257383972683,0.002813641797434795,0,29.550428258403105,0
1106.0132735874988,3.606676630470723e-07,0.2448979591836735,4.84813681109536e-06,1659.019910381248,1.7327176461040572,0.002832466504959572,0,30.43760619108829,0
1110.3414176756378,3.5286944330551393e-07,0.2612244897959184,4.84813681109536e-06,1665.5121265134567,1.7327094974432662,0.0028514308518963207,0,31.369408519958203,0
1114.7347480769868,3.450712235639556e-07,0.27755102040816326,4.84813681109536e-06,1672.1021221154801,1.732701291219613,0.002870539424400679,0,32.34907824293541,0
1119.1950902840838,3.3727300382239735e-07,0.2938775510204082,4.84813681109536e-06,1678.7926354261258,1.7326930261958278,0.002889796998228565,0,33.38017172982194,0
1123.7243463115476,3.2947478408083907e-07,0.3102040816326531,4.84813681109536e-06,1685.5865194673215,1.7326847010898976,0.0029092085585162406,0,34.46659831551056,0
1128.324499023779,3.2167656433928067e-07,0.326530612244898,4.84813681109536e-06,1692.4867485356685,1.7326763145709725,0.002928779308374805,0,35.612664256556144,0
1132.997616773454,3.138783445977224e-07,0.34285714285714286,4.84813681109536e-06,1699.496425160181,1.7326678652626288,0.002948514676728146,0,36.82312309273612,0
1137.7458583780856,3.0608012485616404e-07,0.3591836734693878,4.84813681109536e-06,1706.6187875671285,1.7326593517310067,0.002968420342665764,0,38.10323650506255,0
1142.5714784647291,2.9828190511460575e-07,0.3755102040816327,4.84813681109536e-06,1713.8572176970938,1.7326507724883746,0.0029885022356297,0,39.45884076554797,0
1147.4768332160754,2.9048368537304746e-07,0.3918367346938776,4.84813681109536e-06,1721.2152498241132,1.732642125991059,0.00300876656606027,0,40.89642950222058,0
1152.4643865548035,2.8268546563148907e-07,0.40816326530612246,4.84813681109536e-06,1728.6965798322053,1.7326334106319943,0.0030292198314677823,0,42.42324581408083,0
1157.5367168070154,2.748872458899308e-07,0.4244897959183674,4.84813681109536e-06,1736.3050752105232,1.732624624739544,0.0030498688374495484,0,44.0473932083682,0
1162.6965238901178,2.670890261483724e-07,0.4408163265306123,4.84813681109536e-06,1744.0447858351768,1.7326157665709834,0.00307072071705524,0,45.777966044787966,0
1167.9466370757398,2.5929080640681415e-07,0.4571428571428572,4.84813681109536e-06,1751.9199556136098,1.732606834315665,0.0030917829568757717,0,47.62520573386216,0
1173.2900233838213,2.514925866652558e-07,0.47346938775510206,4.84813681109536e-06,1759.935035075732,1.7325978260814754,0.003113063413341405,0,49.60068411199205,0
1178.729796670834,2.4369436692369746e-07,0.489795918367347,4.84813681109536e-06,1768.0946950062512,1.732588739897931,0.003134570337962617,0,51.717525073718654,0
1184.269227482311,2.3589614718213915e-07,0.5061224489795919,4.84813681109536e-06,1776.4038412234665,1.7325795737035945,0.003156312408083847,0,53.990673039746305,0
1189.9117537485433,2.2809792744058083e-07,0.5224489795918368,4.84813681109536e-06,1784.867630622815,1.7325703253475375,0.003178298757289089,0,56.43721811160576,0
1195.6609924117,2.2029970769902255e-07,0.5387755102040817,4.84813681109536e-06,1793.4914886175497,1.73256099258285,0.003200538996117663,0,59.07678840772713,0
